id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4634868,Cozy studio 2mins Vatican Museums,24000057,Irene,,I Centro Storico,41.90865,12.45436,Entire home/apt,80,35,191,2020-08-31,2.37,1,189,0,CVN-002825-5
4642060,50mq zona termini/s. maria maggiore,8234974,Riccardo,,I Centro Storico,41.8991,12.5015,Entire home/apt,120,3,104,2018-11-28,1.29,2,284,0,
4642827,7p. - 3rd floor - In The Heart Of Rome,21095791,Aldo Maria,,I Centro Storico,41.90383,12.48563,Entire home/apt,192,3,114,2019-11-04,1.46,5,344,0,CVI-000106-8
4647674,Lovely penthouse Appia Capannelle,24058304,Giorgio,,VII San Giovanni/Cinecittà,41.82861,12.56668,Entire home/apt,55,2,61,2018-10-22,0.79,1,261,0,
4647986,"""La Casa della Divina"" Accogliente Appartamento Vicino al Colosseo",6235444,Giuseppe,,I Centro Storico,41.89827,12.48905,Entire home/apt,100,3,180,2019-12-12,2.22,15,0,0,
4648675,Cosy new apartment in Trastevere,24065612,Flavio,,XII Monte Verde,41.87818,12.4687,Entire home/apt,69,20,23,2016-11-27,0.30,1,268,0,
4650395,Double room in San Giovanni,23999827,Lorenzo,,VII San Giovanni/Cinecittà,41.88181,12.50295,Private room,60,1,29,2019-09-18,0.35,1,365,0,
4651210,Wellcoming at 100 mt from station,24077628,Anna,,I Centro Storico,41.8965,12.50703,Entire home/apt,82,1,113,2021-09-27,1.56,2,296,1,
4655008,Beautiful room in Pigneto,3508565,G,,V Prenestino/Centocelle,41.89072,12.52627,Private room,44,4,137,2019-11-06,1.73,4,41,0,
4655877,gensola  delux,24098387,Sandra,,I Centro Storico,41.88929,12.47693,Entire home/apt,103,3,134,2021-07-29,2.00,1,349,15,
4656792,In the heart of the city,24102053,Alberto,,I Centro Storico,41.88822,12.47551,Entire home/apt,98,3,38,2020-03-11,0.58,1,3,0,
4658454,Lovely 3Chic Maison Colosseum. District Monti,21397943,Mirko,,I Centro Storico,41.89708,12.49385,Entire home/apt,87,2,427,2021-09-15,5.72,2,200,50,CVN-003096-6
4658507,Romantic and elegant apartment with a splendid view of the Colosseum,24108389,Luigi,,I Centro Storico,41.89148,12.49397,Entire home/apt,226,1,185,2021-08-08,2.21,3,258,2,
4658622,True Colors by the Vatican Cipro,5613371,Antonella,,I Centro Storico,41.90673,12.44645,Entire home/apt,54,2,83,2019-10-17,1.08,3,11,0,
4659044,Mamma Roma double bed,24109724,Maria Grazia,,IV Tiburtina,41.89988,12.53369,Private room,45,1,23,2016-10-15,0.41,2,365,0,
4664571,Welcome friends to downtown Rome,24136021,Francesco,,I Centro Storico,41.90333,12.50318,Entire home/apt,120,3,0,,,1,0,0,
4664917,Delizioso Rifugio a Campo di Fiori,16691866,Salomé,,I Centro Storico,41.89657,12.46817,Entire home/apt,130,1,0,,,1,0,0,
4666038,Accogliente appartamentino,24141963,Roberto,,IX Eur,41.79072,12.47167,Entire home/apt,41,1,1,2015-05-19,0.01,1,315,0,
4666747,Love on a shoestring...,276063,Guglielmo,,I Centro Storico,41.89883,12.47101,Entire home/apt,109,5,17,2021-08-27,0.28,23,159,1,
4671409,La Casetta del Vaticano near metroA,24164795,Roberto,,XIII Aurelia,41.8962,12.43583,Entire home/apt,60,3,14,2018-12-01,0.21,1,338,1,
4674234,Appartamento con Giardino,22754720,Francesco,,XIV Monte Mario,41.93168,12.4135,Entire home/apt,48,2,12,2019-12-03,0.15,2,284,0,
4674421,Green 152 - 1  Rome Monti Colosseum,20922210,Green 152,,I Centro Storico,41.89793,12.49639,Entire home/apt,130,1,1,2019-05-23,0.03,3,0,0,
4674704,Green 152 - Apartment with Balcony,20922210,Green 152,,I Centro Storico,41.89735,12.49479,Entire home/apt,140,1,0,,,3,0,0,
4676654,Apartment Piazza Navona with balcony,8973851,Stefano,,I Centro Storico,41.89731,12.46987,Entire home/apt,100,3,129,2021-09-18,1.68,42,307,10,
4678532,Piazza Fiume sognando la Dolce Vita,24195357,Teresa,,II Parioli/Nomentano,41.91104,12.4984,Entire home/apt,150,2,88,2019-06-02,1.11,1,0,0,
